title,overview,genres,poster_path,release_date,vote_average,vote_count,popularity,runtime,tagline
Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,1995-10-30,7.7,5415.0,21.946943,81.0,
Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,1995-12-15,6.9,2413.0,17.015539,104.0,Roll the dice and unleash the excitement!
Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,1995-12-22,6.5,92.0,11.7129,101.0,Still Yelling. Still Fighting. Still Ready for Love.
Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,1995-12-22,6.1,34.0,3.859495,127.0,Friends are the people who let you be yourself... and never let you forget it.
Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.","[{'id': 35, 'name': 'Comedy'}]",/e64sOI48hQXyru7naBFyssKFxVd.jpg,1995-02-10,5.7,173.0,8.387519,106.0,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!
Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",/zMyfPUelumio3tiDKPffaUpsQTD.jpg,1995-12-15,7.7,1886.0,17.924927,170.0,A Los Angeles Crime Saga
Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,1995-12-15,6.2,141.0,6.677277,127.0,You are cordially invited to the most surprising merger of the year.
Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,1995-12-22,5.4,45.0,2.561161,97.0,The Original Bad Boys.
Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,1995-12-22,5.5,174.0,5.23158,106.0,Terror goes into overtime.
GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,1995-11-16,6.6,1194.0,14.686036,130.0,No limits. No fears. No substitutes.
The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/lymPNGLZgPHuqM29rKMGV46ANij.jpg,1995-11-17,6.5,199.0,6.318445,106.0,Why can't the most powerful man in the world have the one thing he wants most?
Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.","[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,1995-12-22,5.7,210.0,5.430331,88.0,
Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,1995-12-22,7.1,423.0,12.140733,78.0,Part Dog. Part Wolf. All Hero.
Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,1995-12-22,7.1,72.0,5.092,192.0,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation."
Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,1995-12-22,5.7,137.0,7.284477,119.0,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,1995-11-22,7.8,1343.0,10.137389,178.0,No one stays at the top forever.
Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,1995-12-13,7.2,364.0,10.673167,136.0,Lose your heart and come to your senses.
Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,1995-12-09,6.5,539.0,9.026586,98.0,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,1995-11-10,6.1,1128.0,8.205448,90.0,New animals. New adventures. Same hair.
Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,1995-11-21,5.4,224.0,7.337906,103.0,"Get on, or GET OUT THE WAY!"
Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,1995-10-20,6.4,305.0,12.669608,105.0,"The mob is tough, but it’s nothing like show business."
Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",/80czeJGSoik22fhtUM9WzyjUU4r.jpg,1995-10-27,6.5,199.0,10.701801,124.0,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next."
Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,1995-10-06,6.0,394.0,11.065939,132.0,"In the shadows of life, In the business of death, One man found a reason to live..."
Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,1995-10-27,6.3,143.0,12.133094,111.0,An extraordinary encounter with another human being.
