title,overview,genres,poster_path,release_date,vote_average,vote_count,popularity,runtime,tagline
Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,1995-12-15,6.9,2413.0,17.015539,104.0,Roll the dice and unleash the excitement!
Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,1995-11-21,5.4,224.0,7.337906,103.0,"Get on, or GET OUT THE WAY!"
Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,1995-07-18,6.0,756.0,14.404764,89.0,A little pig goes a long way.
The Big Green,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg,1995-09-29,5.2,41.0,5.982764,100.0,The biggest kick of the year!
Home for the Holidays,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,1995-11-02,6.3,39.0,8.416802,103.0,We'll do it every year..until we get it right
Eye for an Eye,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,1996-01-12,5.8,65.0,4.733526,101.0,What do you do when justice fails?
Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,1995-12-29,6.9,115.0,7.137117,137.0,"Of All the Lives He Changed, the One That Changed the Most Was His Own."
The Star Maker,The adventures and deceptions of a photographer who travels through the small villages of Sicily pretending that he is working for the big film studios in Rome.,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/zRLV8Gz4x3k4Dc4Zxbmz7jsqNoN.jpg,1995-09-21,6.8,29.0,1.702639,113.0,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true..."
Virgin Mary,"In 1981 in Medjugorje (BA), a group of kids claim that Virgin Mary appeared to them on a hill. The local priest believes them and spreads the word. Religious tourism blossoms. The communist government is concerned and arrests the priest.","[{'id': 18, 'name': 'Drama'}]",/b8niK1RquKFR7TZBJbWN8zZPCcT.jpg,1995-10-12,7.0,2.0,0.918504,125.0,
Nine Months,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.","[{'id': 35, 'name': 'Comedy'}]",/aYavA2TOqpWVcxQZ31mMlYKqoFM.jpg,1995-07-12,5.5,171.0,8.482834,103.0,Ready or Not.
